,Team1,Team2,Points1,Points2,Venue,Season,Round,Day,Date,Attendance,Winner1,Home/Away1,Home/Away2
863,Hawthorn,Adelaide,112.0,109.0,M.C.G.,2016,Round 5,Fri,22-Apr-2016,45781.0,1,H,A
864,Sydney,West Coast,88.0,49.0,S.C.G.,2016,Round 5,Sat,23-Apr-2016,35427.0,1,H,A
865,Gold Coast,North Melbourne,81.0,119.0,Carrara,2016,Round 5,Sat,23-Apr-2016,13351.0,0,H,A
866,Western Bulldogs,Brisbane Lions,120.0,67.0,Docklands,2016,Round 5,Sat,23-Apr-2016,25097.0,1,H,A
867,Port Adelaide,Geelong,59.0,107.0,Adelaide Oval,2016,Round 5,Sat,23-Apr-2016,43984.0,0,H,A
868,St Kilda,Greater Western Sydney,79.0,126.0,Docklands,2016,Round 5,Sun,24-Apr-2016,21052.0,0,H,A
869,Fremantle,Carlton,68.0,72.0,Subiaco,2016,Round 5,Sun,24-Apr-2016,34796.0,0,H,A
870,Melbourne,Richmond,129.0,96.0,M.C.G.,2016,Round 5,Sun,24-Apr-2016,60867.0,1,H,H
871,Collingwood,Essendon,142.0,73.0,M.C.G.,2016,Round 5,Mon,25-Apr-2016,85082.0,1,H,H
872,North Melbourne,Western Bulldogs,61.0,45.0,Docklands,2016,Round 6,Fri,29-Apr-2016,47622.0,1,H,H
873,Melbourne,St Kilda,96.0,135.0,Docklands,2016,Round 6,Sat,30-Apr-2016,27260.0,0,A,H
874,Adelaide,Fremantle,97.0,64.0,Adelaide Oval,2016,Round 6,Sat,30-Apr-2016,46431.0,1,H,A
875,Greater Western Sydney,Hawthorn,158.0,83.0,Sydney Showground,2016,Round 6,Sat,30-Apr-2016,13766.0,1,H,A
876,Geelong,Gold Coast,168.0,48.0,Kardinia Park,2016,Round 6,Sat,30-Apr-2016,23007.0,1,H,A
877,Richmond,Port Adelaide,59.0,94.0,M.C.G.,2016,Round 6,Sat,30-Apr-2016,27077.0,0,H,A
878,Brisbane Lions,Sydney,94.0,97.0,Gabba,2016,Round 6,Sun,01-May-2016,14646.0,0,H,A
879,Carlton,Essendon,72.0,57.0,M.C.G.,2016,Round 6,Sun,01-May-2016,43827.0,1,H,H
880,West Coast,Collingwood,124.0,62.0,Subiaco,2016,Round 6,Sun,01-May-2016,37931.0,1,H,A
881,Richmond,Hawthorn,90.0,136.0,M.C.G.,2016,Round 7,Fri,06-May-2016,49678.0,0,H,H
882,Collingwood,Carlton,84.0,99.0,M.C.G.,2016,Round 7,Sat,07-May-2016,60222.0,0,H,H
883,Geelong,West Coast,123.0,79.0,Kardinia Park,2016,Round 7,Sat,07-May-2016,25429.0,1,H,A
884,Sydney,Essendon,135.0,54.0,S.C.G.,2016,Round 7,Sat,07-May-2016,29527.0,1,H,A
885,Gold Coast,Melbourne,87.0,160.0,Carrara,2016,Round 7,Sat,07-May-2016,12780.0,0,H,A
886,Western Bulldogs,Adelaide,123.0,108.0,Docklands,2016,Round 7,Sat,07-May-2016,26984.0,1,H,A
887,Fremantle,Greater Western Sydney,77.0,95.0,Subiaco,2016,Round 7,Sat,07-May-2016,28201.0,0,H,A
888,St Kilda,North Melbourne,75.0,82.0,Docklands,2016,Round 7,Sun,08-May-2016,27254.0,0,H,H
889,Port Adelaide,Brisbane Lions,136.0,59.0,Adelaide Oval,2016,Round 7,Sun,08-May-2016,31544.0,1,H,A
890,Adelaide,Geelong,72.0,98.0,Adelaide Oval,2016,Round 8,Fri,13-May-2016,53141.0,0,H,A
891,Essendon,North Melbourne,60.0,74.0,Docklands,2016,Round 8,Sat,14-May-2016,30321.0,0,H,H
892,Hawthorn,Fremantle,116.0,75.0,York Park,2016,Round 8,Sat,14-May-2016,12012.0,1,H,A
893,Greater Western Sydney,Gold Coast,149.0,58.0,Sydney Showground,2016,Round 8,Sat,14-May-2016,8308.0,1,H,A
894,Brisbane Lions,Collingwood,65.0,143.0,Gabba,2016,Round 8,Sat,14-May-2016,24552.0,0,H,A
895,Richmond,Sydney,101.0,100.0,M.C.G.,2016,Round 8,Sat,14-May-2016,36014.0,1,H,A
896,Carlton,Port Adelaide,93.0,91.0,Docklands,2016,Round 8,Sun,15-May-2016,26924.0,1,H,A
897,Melbourne,Western Bulldogs,82.0,114.0,M.C.G.,2016,Round 8,Sun,15-May-2016,39921.0,0,H,A
898,West Coast,St Kilda,132.0,29.0,Subiaco,2016,Round 8,Sun,15-May-2016,36140.0,1,H,A
899,Hawthorn,Sydney,55.0,69.0,M.C.G.,2016,Round 9,Fri,20-May-2016,61552.0,0,H,A
900,Collingwood,Geelong,104.0,80.0,M.C.G.,2016,Round 9,Sat,21-May-2016,59864.0,1,H,A
901,Gold Coast,Adelaide,74.0,149.0,Carrara,2016,Round 9,Sat,21-May-2016,11692.0,0,H,A
902,Port Adelaide,West Coast,86.0,94.0,Adelaide Oval,2016,Round 9,Sat,21-May-2016,38695.0,0,H,A
903,North Melbourne,Carlton,113.0,46.0,Docklands,2016,Round 9,Sat,21-May-2016,38419.0,1,H,H
904,Fremantle,Richmond,45.0,83.0,Subiaco,2016,Round 9,Sat,21-May-2016,20184.0,0,H,A
905,Melbourne,Brisbane Lions,131.0,68.0,M.C.G.,2016,Round 9,Sun,22-May-2016,26892.0,1,H,A
906,Greater Western Sydney,Western Bulldogs,98.0,73.0,Sydney Showground,2016,Round 9,Sun,22-May-2016,9612.0,1,H,A
907,St Kilda,Essendon,109.0,63.0,Docklands,2016,Round 9,Sun,22-May-2016,29026.0,1,H,H
908,Sydney,North Melbourne,91.0,65.0,S.C.G.,2016,Round 10,Fri,27-May-2016,38498.0,1,H,A
909,Brisbane Lions,Hawthorn,87.0,135.0,Gabba,2016,Round 10,Sat,28-May-2016,23691.0,0,H,A
910,Melbourne,Port Adelaide,76.0,121.0,Traeger Park,2016,Round 10,Sat,28-May-2016,5146.0,0,H,A
911,St Kilda,Fremantle,101.0,67.0,Docklands,2016,Round 10,Sat,28-May-2016,17927.0,1,H,A
912,Essendon,Richmond,67.0,105.0,M.C.G.,2016,Round 10,Sat,28-May-2016,56948.0,0,H,H
913,Adelaide,Greater Western Sydney,107.0,85.0,Adelaide Oval,2016,Round 10,Sat,28-May-2016,46737.0,1,H,A
914,Carlton,Geelong,104.0,85.0,Docklands,2016,Round 10,Sun,29-May-2016,33535.0,1,H,A
915,Collingwood,Western Bulldogs,53.0,74.0,M.C.G.,2016,Round 10,Sun,29-May-2016,45078.0,0,H,A
916,West Coast,Gold Coast,132.0,55.0,Subiaco,2016,Round 10,Sun,29-May-2016,34945.0,1,H,A
917,North Melbourne,Richmond,124.0,54.0,Bellerive Oval,2016,Round 11,Fri,03-Jun-2016,17844.0,1,H,A
918,Hawthorn,Melbourne,82.0,64.0,M.C.G.,2016,Round 11,Sat,04-Jun-2016,41833.0,1,H,H
919,Carlton,Brisbane Lions,102.0,64.0,Docklands,2016,Round 11,Sat,04-Jun-2016,30722.0,1,H,A
920,Geelong,Greater Western Sydney,98.0,88.0,Kardinia Park,2016,Round 11,Sat,04-Jun-2016,22007.0,1,H,A
921,Gold Coast,Sydney,41.0,79.0,Carrara,2016,Round 11,Sat,04-Jun-2016,4368.0,0,H,A
922,Fremantle,Essendon,126.0,47.0,Subiaco,2016,Round 11,Sat,04-Jun-2016,31199.0,1,H,A
923,Collingwood,Port Adelaide,58.0,125.0,M.C.G.,2016,Round 11,Sun,05-Jun-2016,28567.0,0,H,A
924,Western Bulldogs,West Coast,83.0,75.0,Docklands,2016,Round 11,Sun,05-Jun-2016,28769.0,1,H,A
925,Adelaide,St Kilda,133.0,45.0,Adelaide Oval,2016,Round 11,Sun,05-Jun-2016,40896.0,1,H,A
926,Essendon,Hawthorn,43.0,151.0,Docklands,2016,Round 12,Fri,10-Jun-2016,27567.0,0,H,A
927,Port Adelaide,Western Bulldogs,97.0,100.0,Adelaide Oval,2016,Round 12,Sat,11-Jun-2016,40096.0,0,H,A
928,Brisbane Lions,Fremantle,64.0,147.0,Gabba,2016,Round 12,Sat,11-Jun-2016,12899.0,0,H,A
929,Geelong,North Melbourne,105.0,74.0,Docklands,2016,Round 12,Sat,11-Jun-2016,44025.0,1,A,H
930,West Coast,Adelaide,76.0,105.0,Subiaco,2016,Round 12,Sat,11-Jun-2016,37591.0,0,H,A
931,St Kilda,Carlton,110.0,78.0,Docklands,2016,Round 12,Sun,12-Jun-2016,47945.0,1,H,H
932,Richmond,Gold Coast,114.0,97.0,M.C.G.,2016,Round 12,Sun,12-Jun-2016,30448.0,1,H,A
933,Greater Western Sydney,Sydney,105.0,63.0,Sydney Showground,2016,Round 12,Sun,12-Jun-2016,21541.0,1,H,A
934,Melbourne,Collingwood,104.0,58.0,M.C.G.,2016,Round 12,Mon,13-Jun-2016,60158.0,1,H,H
935,North Melbourne,Hawthorn,84.0,93.0,Docklands,2016,Round 13,Fri,17-Jun-2016,37073.0,0,H,A
936,Brisbane Lions,West Coast,82.0,131.0,Gabba,2016,Round 13,Sat,18-Jun-2016,12777.0,0,H,A
937,Fremantle,Port Adelaide,86.0,69.0,Subiaco,2016,Round 13,Sat,18-Jun-2016,32448.0,1,H,A
938,Western Bulldogs,Geelong,43.0,100.0,Docklands,2016,Round 13,Sat,18-Jun-2016,41725.0,0,H,A
939,Sydney,Melbourne,86.0,31.0,S.C.G.,2016,Round 13,Sun,19-Jun-2016,19086.0,1,H,A
940,Essendon,Greater Western Sydney,90.0,117.0,Docklands,2016,Round 13,Sun,19-Jun-2016,14463.0,0,H,A
941,Adelaide,North Melbourne,100.0,67.0,Adelaide Oval,2016,Round 14,Thu,23-Jun-2016,37890.0,1,H,A
942,Collingwood,Fremantle,85.0,37.0,M.C.G.,2016,Round 14,Fri,24-Jun-2016,20320.0,1,H,A
943,Richmond,Brisbane Lions,117.0,75.0,M.C.G.,2016,Round 14,Sat,25-Jun-2016,28883.0,1,H,A
944,Greater Western Sydney,Carlton,127.0,65.0,Sydney Showground,2016,Round 14,Sat,25-Jun-2016,10355.0,1,H,A
945,St Kilda,Geelong,93.0,90.0,Docklands,2016,Round 14,Sat,25-Jun-2016,28745.0,1,H,A
946,Hawthorn,Gold Coast,86.0,60.0,York Park,2016,Round 14,Sun,26-Jun-2016,10121.0,1,H,A
947,West Coast,Essendon,130.0,52.0,Subiaco,2016,Round 15,Thu,30-Jun-2016,33117.0,1,H,A
948,Port Adelaide,Richmond,94.0,56.0,Adelaide Oval,2016,Round 15,Fri,01-Jul-2016,37848.0,1,H,A
949,Gold Coast,St Kilda,108.0,68.0,Carrara,2016,Round 15,Sat,02-Jul-2016,14071.0,1,H,A
950,Sydney,Western Bulldogs,79.0,83.0,S.C.G.,2016,Round 15,Sat,02-Jul-2016,33386.0,0,H,A
951,Carlton,Collingwood,45.0,57.0,M.C.G.,2016,Round 15,Sat,02-Jul-2016,56157.0,0,H,H
952,Melbourne,Adelaide,98.0,120.0,M.C.G.,2016,Round 15,Sun,03-Jul-2016,29133.0,0,H,A
953,Port Adelaide,Hawthorn,79.0,101.0,Adelaide Oval,2016,Round 16,Thu,07-Jul-2016,43025.0,0,H,A
954,Geelong,Sydney,60.0,98.0,Kardinia Park,2016,Round 16,Fri,08-Jul-2016,24339.0,0,H,A
955,Greater Western Sydney,Collingwood,93.0,125.0,Sydney Showground,2016,Round 16,Sat,09-Jul-2016,13483.0,0,H,A
956,Gold Coast,Brisbane Lions,139.0,113.0,Carrara,2016,Round 16,Sat,09-Jul-2016,13528.0,1,H,A
957,Western Bulldogs,Richmond,85.0,75.0,Docklands,2016,Round 16,Sat,09-Jul-2016,39679.0,1,H,A
958,Melbourne,Fremantle,87.0,55.0,Marrara Oval,2016,Round 16,Sat,09-Jul-2016,8163.0,1,A,A
959,Carlton,Adelaide,47.0,107.0,M.C.G.,2016,Round 16,Sun,10-Jul-2016,32430.0,0,H,A
960,West Coast,North Melbourne,104.0,72.0,Subiaco,2016,Round 16,Sun,10-Jul-2016,35618.0,1,H,A
961,Essendon,St Kilda,98.0,109.0,Docklands,2016,Round 16,Sun,10-Jul-2016,25204.0,0,H,H
962,Sydney,Hawthorn,70.0,75.0,S.C.G.,2016,Round 17,Thu,14-Jul-2016,42314.0,0,H,A
963,Fremantle,Geelong,61.0,78.0,Subiaco,2016,Round 17,Fri,15-Jul-2016,31042.0,0,H,A
964,Richmond,Essendon,102.0,83.0,M.C.G.,2016,Round 17,Sat,16-Jul-2016,44908.0,1,H,H
965,North Melbourne,Port Adelaide,77.0,105.0,Docklands,2016,Round 17,Sat,16-Jul-2016,24361.0,0,H,A
966,Western Bulldogs,Gold Coast,107.0,59.0,Cazaly's Stadium,2016,Round 17,Sat,16-Jul-2016,8509.0,1,A,A
967,Adelaide,Collingwood,97.0,69.0,Adelaide Oval,2016,Round 17,Sat,16-Jul-2016,50002.0,1,H,A
968,Carlton,West Coast,75.0,82.0,M.C.G.,2016,Round 17,Sun,17-Jul-2016,26389.0,0,H,A
969,St Kilda,Melbourne,110.0,74.0,Docklands,2016,Round 17,Sun,17-Jul-2016,25322.0,1,H,A
970,Brisbane Lions,Greater Western Sydney,67.0,146.0,Gabba,2016,Round 17,Sun,17-Jul-2016,10195.0,0,H,A
971,Collingwood,North Melbourne,84.0,124.0,Docklands,2016,Round 18,Fri,22-Jul-2016,36041.0,0,A,H
972,Sydney,Carlton,74.0,68.0,S.C.G.,2016,Round 18,Sat,23-Jul-2016,31765.0,1,H,A
973,Gold Coast,Fremantle,105.0,81.0,Carrara,2016,Round 18,Sat,23-Jul-2016,8933.0,1,H,A
974,West Coast,Melbourne,66.0,60.0,Subiaco,2016,Round 18,Sat,23-Jul-2016,33908.0,1,H,A
975,Geelong,Adelaide,85.0,55.0,Kardinia Park,2016,Round 18,Sat,23-Jul-2016,21127.0,1,H,A
976,Western Bulldogs,St Kilda,60.0,75.0,Docklands,2016,Round 18,Sat,23-Jul-2016,26532.0,0,H,H
977,Essendon,Brisbane Lions,91.0,128.0,Docklands,2016,Round 18,Sun,24-Jul-2016,34869.0,0,H,A
978,Hawthorn,Richmond,114.0,44.0,M.C.G.,2016,Round 18,Sun,24-Jul-2016,51892.0,1,H,H
979,Port Adelaide,Greater Western Sydney,60.0,79.0,Adelaide Oval,2016,Round 18,Sun,24-Jul-2016,27935.0,0,H,A
980,Geelong,Western Bulldogs,103.0,78.0,Kardinia Park,2016,Round 19,Fri,29-Jul-2016,24331.0,1,H,A
981,Greater Western Sydney,Richmond,111.0,23.0,Manuka Oval,2016,Round 19,Sat,30-Jul-2016,14974.0,1,H,A
982,Hawthorn,Carlton,74.0,55.0,York Park,2016,Round 19,Sat,30-Jul-2016,18112.0,1,H,A
983,Collingwood,West Coast,91.0,72.0,M.C.G.,2016,Round 19,Sat,30-Jul-2016,34929.0,1,H,A
984,North Melbourne,St Kilda,85.0,62.0,Docklands,2016,Round 19,Sat,30-Jul-2016,44287.0,1,H,H
985,Brisbane Lions,Port Adelaide,79.0,173.0,Gabba,2016,Round 19,Sat,30-Jul-2016,13085.0,0,H,A
986,Melbourne,Gold Coast,66.0,64.0,M.C.G.,2016,Round 19,Sun,31-Jul-2016,20627.0,1,H,A
987,Fremantle,Sydney,47.0,137.0,Subiaco,2016,Round 19,Sun,31-Jul-2016,32401.0,0,H,A
988,Adelaide,Essendon,143.0,61.0,Adelaide Oval,2016,Round 19,Sun,31-Jul-2016,44264.0,1,H,A
989,Richmond,Collingwood,92.0,77.0,M.C.G.,2016,Round 20,Fri,05-Aug-2016,49122.0,1,H,H
990,Sydney,Port Adelaide,100.0,33.0,S.C.G.,2016,Round 20,Sat,06-Aug-2016,30204.0,1,H,A
991,Melbourne,Hawthorn,110.0,81.0,M.C.G.,2016,Round 20,Sat,06-Aug-2016,38818.0,1,H,H
992,Gold Coast,Greater Western Sydney,84.0,92.0,Carrara,2016,Round 20,Sat,06-Aug-2016,9108.0,0,H,A
993,Western Bulldogs,North Melbourne,61.0,47.0,Docklands,2016,Round 20,Sat,06-Aug-2016,30740.0,1,H,H
994,Adelaide,Brisbane Lions,177.0,39.0,Adelaide Oval,2016,Round 20,Sat,06-Aug-2016,43549.0,1,H,A
995,Carlton,St Kilda,51.0,122.0,M.C.G.,2016,Round 20,Sun,07-Aug-2016,37797.0,0,H,A
996,Geelong,Essendon,100.0,34.0,Docklands,2016,Round 20,Sun,07-Aug-2016,29254.0,1,A,H
997,Fremantle,West Coast,64.0,110.0,Subiaco,2016,Round 20,Sun,07-Aug-2016,36215.0,0,H,H
998,Western Bulldogs,Collingwood,95.0,92.0,Docklands,2016,Round 21,Fri,12-Aug-2016,35010.0,1,H,A
999,Brisbane Lions,Carlton,99.0,95.0,Gabba,2016,Round 21,Sat,13-Aug-2016,17432.0,1,H,A
1000,Hawthorn,North Melbourne,96.0,57.0,M.C.G.,2016,Round 21,Sat,13-Aug-2016,50657.0,1,H,A
1001,Greater Western Sydney,West Coast,96.0,97.0,Sydney Showground,2016,Round 21,Sat,13-Aug-2016,10385.0,0,H,A
1002,St Kilda,Sydney,76.0,146.0,Docklands,2016,Round 21,Sat,13-Aug-2016,33059.0,0,H,A
1003,Port Adelaide,Melbourne,54.0,94.0,Adelaide Oval,2016,Round 21,Sat,13-Aug-2016,33426.0,0,H,A
1004,Essendon,Gold Coast,75.0,69.0,Docklands,2016,Round 21,Sun,14-Aug-2016,16622.0,1,H,A
1005,Richmond,Geelong,78.0,82.0,M.C.G.,2016,Round 21,Sun,14-Aug-2016,45667.0,0,H,A
1006,Fremantle,Adelaide,70.0,142.0,Subiaco,2016,Round 21,Sun,14-Aug-2016,30116.0,0,H,A
1007,West Coast,Hawthorn,92.0,67.0,Subiaco,2016,Round 22,Fri,19-Aug-2016,38581.0,1,H,A
1008,North Melbourne,Sydney,76.0,85.0,Bellerive Oval,2016,Round 22,Sat,20-Aug-2016,16495.0,0,H,A
1009,Richmond,St Kilda,46.0,55.0,M.C.G.,2016,Round 22,Sat,20-Aug-2016,35255.0,0,H,A
1010,Greater Western Sydney,Fremantle,129.0,37.0,Sydney Showground,2016,Round 22,Sat,20-Aug-2016,9556.0,1,H,A
1011,Collingwood,Gold Coast,118.0,47.0,Docklands,2016,Round 22,Sat,20-Aug-2016,17644.0,1,A,A
1012,Port Adelaide,Adelaide,94.0,109.0,Adelaide Oval,2016,Round 22,Sat,20-Aug-2016,49541.0,0,H,H
1013,Carlton,Melbourne,78.0,58.0,M.C.G.,2016,Round 22,Sun,21-Aug-2016,40693.0,1,H,H
1014,Brisbane Lions,Geelong,69.0,129.0,Gabba,2016,Round 22,Sun,21-Aug-2016,20477.0,0,H,A
1015,Essendon,Western Bulldogs,53.0,93.0,Docklands,2016,Round 22,Sun,21-Aug-2016,25308.0,0,H,H
1016,Adelaide,West Coast,71.0,100.0,Adelaide Oval,2016,Round 23,Fri,26-Aug-2016,50785.0,0,H,A
1017,Geelong,Melbourne,155.0,44.0,Kardinia Park,2016,Round 23,Sat,27-Aug-2016,24413.0,1,H,A
1018,Essendon,Carlton,103.0,79.0,M.C.G.,2016,Round 23,Sat,27-Aug-2016,46566.0,1,H,H
1019,Sydney,Richmond,164.0,51.0,S.C.G.,2016,Round 23,Sat,27-Aug-2016,36570.0,1,H,A
1020,North Melbourne,Greater Western Sydney,63.0,100.0,Docklands,2016,Round 23,Sat,27-Aug-2016,22295.0,0,H,A
1021,Gold Coast,Port Adelaide,66.0,89.0,Carrara,2016,Round 23,Sat,27-Aug-2016,9213.0,0,H,A
1022,St Kilda,Brisbane Lions,161.0,103.0,Docklands,2016,Round 23,Sun,28-Aug-2016,19633.0,1,H,A
1023,Hawthorn,Collingwood,112.0,111.0,M.C.G.,2016,Round 23,Sun,28-Aug-2016,52968.0,1,H,H
1024,Fremantle,Western Bulldogs,69.0,49.0,Subiaco,2016,Round 23,Sun,28-Aug-2016,34765.0,1,H,A
1025,West Coast,Western Bulldogs,52.0,99.0,Subiaco,2016,Elimination Final,Thu,08-Sep-2016,42078.0,0,H,A
1026,Geelong,Hawthorn,85.0,83.0,M.C.G.,2016,Qualifying Final,Fri,09-Sep-2016,87533.0,1,A,H
1027,Sydney,Greater Western Sydney,55.0,91.0,Stadium Australia,2016,Qualifying Final,Sat,10-Sep-2016,60222.0,0,H,A
1028,Adelaide,North Melbourne,141.0,79.0,Adelaide Oval,2016,Elimination Final,Sat,10-Sep-2016,49007.0,1,H,A
1029,Hawthorn,Western Bulldogs,84.0,107.0,M.C.G.,2016,Semi Final,Fri,16-Sep-2016,87823.0,0,H,A
1030,Sydney,Adelaide,118.0,82.0,S.C.G.,2016,Semi Final,Sat,17-Sep-2016,38136.0,1,H,A
1031,Geelong,Sydney,60.0,97.0,M.C.G.,2016,Preliminary Final,Fri,23-Sep-2016,71772.0,0,A,A
1032,Greater Western Sydney,Western Bulldogs,83.0,89.0,Sydney Showground,2016,Preliminary Final,Sat,24-Sep-2016,21790.0,0,H,A
1033,Sydney,Western Bulldogs,67.0,89.0,M.C.G.,2016,Grand Final,Sat,01-Oct-2016,99981.0,0,A,A
1034,Carlton,Richmond,89.0,132.0,M.C.G.,2017,Round 1,Thu,23-Mar-2017,73137.0,0,H,H
1035,Collingwood,Western Bulldogs,86.0,100.0,M.C.G.,2017,Round 1,Fri,24-Mar-2017,66254.0,0,H,A
1036,St Kilda,Melbourne,90.0,120.0,Docklands,2017,Round 1,Sat,25-Mar-2017,36249.0,0,H,A
1037,Sydney,Port Adelaide,82.0,110.0,S.C.G.,2017,Round 1,Sat,25-Mar-2017,33129.0,0,H,A
1038,Essendon,Hawthorn,116.0,91.0,M.C.G.,2017,Round 1,Sat,25-Mar-2017,78294.0,1,H,H
1039,Gold Coast,Brisbane Lions,96.0,98.0,Carrara,2017,Round 1,Sat,25-Mar-2017,12710.0,0,H,A
1040,North Melbourne,West Coast,93.0,136.0,Docklands,2017,Round 1,Sun,26-Mar-2017,21997.0,0,H,A
1041,Adelaide,Greater Western Sydney,147.0,91.0,Adelaide Oval,2017,Round 1,Sun,26-Mar-2017,43993.0,1,H,A
1042,Fremantle,Geelong,73.0,115.0,Subiaco,2017,Round 1,Sun,26-Mar-2017,34638.0,0,H,A
1043,Richmond,Collingwood,99.0,80.0,M.C.G.,2017,Round 2,Thu,30-Mar-2017,58236.0,1,H,H
1044,Western Bulldogs,Sydney,110.0,87.0,Docklands,2017,Round 2,Fri,31-Mar-2017,42834.0,1,H,A
1045,Hawthorn,Adelaide,89.0,113.0,M.C.G.,2017,Round 2,Sat,01-Apr-2017,37420.0,0,H,A
1046,Greater Western Sydney,Gold Coast,160.0,58.0,Sydney Showground,2017,Round 2,Sat,01-Apr-2017,8022.0,1,H,A
1047,Brisbane Lions,Essendon,84.0,111.0,Gabba,2017,Round 2,Sat,01-Apr-2017,21749.0,0,H,A
1048,West Coast,St Kilda,116.0,97.0,Subiaco,2017,Round 2,Sat,01-Apr-2017,37749.0,1,H,A
1049,Geelong,North Melbourne,112.0,111.0,Docklands,2017,Round 2,Sun,02-Apr-2017,30917.0,1,A,H
1050,Melbourne,Carlton,86.0,64.0,M.C.G.,2017,Round 2,Sun,02-Apr-2017,46727.0,1,H,H
1051,Port Adelaide,Fremantle,145.0,56.0,Adelaide Oval,2017,Round 2,Sun,02-Apr-2017,38388.0,1,H,A
1052,Sydney,Collingwood,79.0,80.0,S.C.G.,2017,Round 3,Fri,07-Apr-2017,35310.0,0,H,A
1053,North Melbourne,Greater Western Sydney,67.0,109.0,Bellerive Oval,2017,Round 3,Sat,08-Apr-2017,8758.0,0,H,A
1054,Richmond,West Coast,76.0,65.0,M.C.G.,2017,Round 3,Sat,08-Apr-2017,42523.0,1,H,A
1055,Geelong,Melbourne,126.0,97.0,Docklands,2017,Round 3,Sat,08-Apr-2017,29733.0,1,A,A
1056,Fremantle,Western Bulldogs,89.0,73.0,Subiaco,2017,Round 3,Sat,08-Apr-2017,28865.0,1,H,A
1057,Port Adelaide,Adelaide,83.0,100.0,Adelaide Oval,2017,Round 3,Sat,08-Apr-2017,53698.0,0,H,H
1058,St Kilda,Brisbane Lions,107.0,76.0,Docklands,2017,Round 3,Sun,09-Apr-2017,23097.0,1,H,A
1059,Carlton,Essendon,57.0,42.0,M.C.G.,2017,Round 3,Sun,09-Apr-2017,48022.0,1,H,H
1060,Gold Coast,Hawthorn,139.0,53.0,Carrara,2017,Round 3,Sun,09-Apr-2017,14728.0,1,H,A
1061,West Coast,Sydney,91.0,65.0,Subiaco,2017,Round 4,Thu,13-Apr-2017,38063.0,1,H,A
1062,North Melbourne,Western Bulldogs,86.0,89.0,Docklands,2017,Round 4,Fri,14-Apr-2017,42814.0,0,H,H
1063,Melbourne,Fremantle,104.0,106.0,M.C.G.,2017,Round 4,Sat,15-Apr-2017,27829.0,0,H,A
1064,Greater Western Sydney,Port Adelaide,112.0,81.0,Manuka Oval,2017,Round 4,Sat,15-Apr-2017,9185.0,1,H,A
1065,Carlton,Gold Coast,82.0,108.0,Docklands,2017,Round 4,Sat,15-Apr-2017,24968.0,0,H,A
1066,Adelaide,Essendon,153.0,88.0,Adelaide Oval,2017,Round 4,Sat,15-Apr-2017,47492.0,1,H,A
1067,Collingwood,St Kilda,55.0,69.0,Docklands,2017,Round 4,Sun,16-Apr-2017,36650.0,0,A,H
1068,Brisbane Lions,Richmond,67.0,119.0,Gabba,2017,Round 4,Sun,16-Apr-2017,21669.0,0,H,A
1069,Hawthorn,Geelong,48.0,134.0,M.C.G.,2017,Round 4,Mon,17-Apr-2017,62360.0,0,H,A
1070,Port Adelaide,Carlton,137.0,47.0,Adelaide Oval,2017,Round 5,Fri,21-Apr-2017,43120.0,1,H,A
1071,Western Bulldogs,Brisbane Lions,122.0,90.0,Docklands,2017,Round 5,Sat,22-Apr-2017,31822.0,1,H,A
1072,Gold Coast,Adelaide,86.0,153.0,Carrara,2017,Round 5,Sat,22-Apr-2017,12672.0,0,H,A
1073,Sydney,Greater Western Sydney,63.0,105.0,S.C.G.,2017,Round 5,Sat,22-Apr-2017,34824.0,0,H,A
1074,Fremantle,North Melbourne,67.0,62.0,Subiaco,2017,Round 5,Sat,22-Apr-2017,33319.0,1,H,A
1075,St Kilda,Geelong,88.0,126.0,Docklands,2017,Round 5,Sun,23-Apr-2017,33884.0,0,H,A
1076,Hawthorn,West Coast,125.0,75.0,M.C.G.,2017,Round 5,Sun,23-Apr-2017,28997.0,1,H,A
1077,Richmond,Melbourne,88.0,75.0,M.C.G.,2017,Round 5,Mon,24-Apr-2017,85657.0,1,H,H
1078,Essendon,Collingwood,100.0,82.0,M.C.G.,2017,Round 5,Tue,25-Apr-2017,87685.0,1,H,H
1079,Greater Western Sydney,Western Bulldogs,75.0,73.0,Manuka Oval,2017,Round 6,Fri,28-Apr-2017,14048.0,1,H,A
1080,Hawthorn,St Kilda,55.0,130.0,York Park,2017,Round 6,Sat,29-Apr-2017,15571.0,0,H,A
1081,Carlton,Sydney,97.0,78.0,M.C.G.,2017,Round 6,Sat,29-Apr-2017,32678.0,1,H,A
1082,Brisbane Lions,Port Adelaide,67.0,150.0,Gabba,2017,Round 6,Sat,29-Apr-2017,13638.0,0,H,A
1083,North Melbourne,Gold Coast,107.0,94.0,Docklands,2017,Round 6,Sat,29-Apr-2017,15431.0,1,H,A
1084,West Coast,Fremantle,103.0,62.0,Subiaco,2017,Round 6,Sat,29-Apr-2017,40836.0,1,H,H
1085,Essendon,Melbourne,74.0,112.0,Docklands,2017,Round 6,Sun,30-Apr-2017,44040.0,0,H,A
1086,Geelong,Collingwood,78.0,107.0,M.C.G.,2017,Round 6,Sun,30-Apr-2017,46457.0,0,A,H
1087,Adelaide,Richmond,140.0,64.0,Adelaide Oval,2017,Round 6,Sun,30-Apr-2017,51069.0,1,H,A
1088,St Kilda,Greater Western Sydney,108.0,85.0,Docklands,2017,Round 7,Fri,05-May-2017,21160.0,1,H,A
